,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
WORKPLACE,,,,,,,,,
MONTGOMERY COUNTY RESIDENTS,,,,,,,,,
WORKPLACE,,% WORK TRIPS,,,,,,TOTALS,
,|,MWCOG 87-88 HTS,|,MNCPPC 87 C.U.,|,TRAVEL2,,MWCOG 87-88 HTS,TRAVEL2
WASHINGTON,|,=I8/($I$18),|,0.243,|,=J8/($J$18),,57575,37821
MONTGOMERY,|,=I9/($I$18),|,0.599,|,=J9/($J$18),,106266,149200
PRINCE GEORGE'S,|,=I10/($I$18),|,0.053,|,=J10/($J$18),,12487,17475
ALEXANDRIA,|,=I11/($I$18),|,,|,=J11/($J$18),,5830,9959
ARLINGTON,|,=I12/($I$18),|,0.067,|,=J12/($J$18),,889,1663
FAIRFAX,|,=I13/($I$18),|,,|,=J13/($J$18),,6231,12137
LOUDOUN,|,=I14/($I$18),|,,|,=J14/($J$18),,336,676
PRINCE WILLIAM,|,=I15/($I$18),|,,|,=J15/($J$18),,239,319
FREDERICK,|,=I16/($I$18),|,,|,=J16/($J$18),,493,2123
"OTHER, UNK",|,=I17/($I$18),|,0.03,|,=J17/($J$18),,6402,=3568+3971+1.95+1361+10785+8606
,,,,,,,,=SUM(I8:I17),=SUM(J8:J17)
,,,,,,,,,
,,PM PEAK PD,,PLACE OF WORK,,PM PEAK PD,,,
,,work to all,,,,work to all,,,
,,all modes,,,,all modes,,,
,,,,,,,,,
RESIDENCE,,,,,,,,,
MONTGOMERY COUNTY WORKERS,,,,,,,,,
,,,,,,,,,
,|,MWCOG 87-88 HTS,|,TRAVEL2,,,,,
WASHINGTON,|,=I28/$I$38,|,=J28/$J$38,,,,10034,30168
MONTGOMERY,|,=I29/$I$38,|,=J29/$J$38,,,,106266,149200
PRINCE GEORGE'S,|,=I30/$I$38,|,=J30/$J$38,,,,15377,23390
ALEXANDRIA,|,=I31/$I$38,|,=J31/$J$38,,,,1676,2982
ARLINGTON,|,=I32/$I$38,|,=J32/$J$38,,,,1354,987
FAIRFAX,|,=I33/$I$38,|,=J33/$J$38,,,,8897,15193
LOUDOUN,|,=I34/$I$38,|,=J34/$J$38,,,,824,2456
PRINCE WILLIAM,|,=I35/$I$38,|,=J35/$J$38,,,,696,1268
FREDERICK,|,=I36/$I$38,|,=J36/$J$38,,,,8371,12966
"OTHER, UNK",|,=I37/$I$38,|,=J37/$J$38,,,,432,=516+971+4.75+1477+4419+1797
,,,,,,,,=SUM(I27:I36),=SUM(J27:J36)
,,PM PEAK PD,,PM PEAK PD,,,,,
,,work to all,,work to all,,,,,
,,all modes,,all modes,,,,,
